,name,salary_min,salary_max,salary_currency,salary_type,salary_period,company_name,url,site
55,Сервисный инженер,,,none,none,none,Вебер Комеханикс,https://www.superjob.ru/vakansii/servisnyj-inzhener-31955270.html,superjob.ru
56,Инженер-проектировщик электроснабжения,,,none,none,none,Кадровый Центр на Сокольнической Площади,https://www.superjob.ru/vakansii/inzhener-proektirovschik-elektrosnabzheniya-37339502.html,superjob.ru
57,Ведущий инженер-сметчик,,120000.0,руб.,gross,месяц,Комэнерго,https://www.superjob.ru/vakansii/veduschij-inzhener-smetchik-37350763.html,superjob.ru
58,"Инженер-ведущий инженер по наладке и испытаниям (АТС, вахта)",122000.0,,руб.,gross,месяц,Промстроймонтаж,https://www.superjob.ru/vakansii/inzhener-veduschij-inzhener-po-naladke-i-ispytaniyam-37431286.html,superjob.ru
59,Ведущий научный сотрудник (ведущий инженер),100000.0,,руб.,gross,месяц,Всероссийский научно-исследовательский институт авиационных материалов,https://www.superjob.ru/vakansii/veduschij-nauchnyj-sotrudnik-36566113.html,superjob.ru
60,Инженер-метролог (измерения геометрических величин),54180.0,,руб.,gross,месяц,"ГУП ""Московский метрополитен""",https://www.superjob.ru/vakansii/inzhener-metrolog-37332851.html,superjob.ru
61,Инженер по планированию оборудования в ЦОД,,,none,none,none,Сбербанк России,https://www.superjob.ru/vakansii/inzhener-po-planirovaniyu-oborudovaniya-v-cod-37660564.html,superjob.ru
62,"Ведущий инженер-конструктор (бюро судовых систем, оборудования и механизмов)",89000.0,,руб.,gross,месяц,Центр трудовых ресурсов,https://www.superjob.ru/vakansii/veduschij-inzhener-konstruktor-37408345.html,superjob.ru
63,Инженер препресс,60000.0,,руб.,gross,месяц,JOBCART.RU,https://www.superjob.ru/vakansii/inzhener-prepress-37523331.html,superjob.ru
64,Инженер-программист микроконтроллеров,70000.0,,руб.,gross,месяц,Микроволновая Электроника,https://www.superjob.ru/vakansii/inzhener-programmist-mikrokontrollerov-37268926.html,superjob.ru
65,Инженер технического надзора строительно-монтажных работ,,,none,none,none,Почта России,https://www.superjob.ru/vakansii/inzhener-tehnicheskogo-nadzora-stroitelno-montazhnyh-rabot-36422958.html,superjob.ru
66,Инженер по вентиляции и кондиционированию производства,70000.0,,руб.,gross,месяц,Азбука вкуса,https://www.superjob.ru/vakansii/inzhener-po-ventilyacii-i-kondicionirovaniyu-proizvodstva-31125288.html,superjob.ru
67,"Инженер-лаборант / Ведущий инженер (ОС, вахта)",90000.0,108000.0,руб.,gross,месяц,Промстроймонтаж,https://www.superjob.ru/vakansii/inzhener-laborant-37480479.html,superjob.ru
68,Плотник (инженер-техник),,50000.0,руб.,gross,месяц,Первая Экспедиционная Компания,https://www.superjob.ru/vakansii/plotnik-37672377.html,superjob.ru
69,Инженер-проектировщик инженерных сетей,90000.0,,руб.,gross,месяц,Голубая Лагуна,https://www.superjob.ru/vakansii/inzhener-proektirovschik-inzhenernyh-setej-37560983.html,superjob.ru
70,Инженер электротехнической лаборатории,,,none,none,none,МОЭК,https://www.superjob.ru/vakansii/inzhener-elektrotehnicheskoj-laboratorii-34298121.html,superjob.ru
71,Инженер DBA MS SQL,,200000.0,руб.,gross,месяц,Снежная Королева,https://www.superjob.ru/vakansii/inzhener-dba-ms-sql-35947682.html,superjob.ru
72,Инженер технической поддержки,30000.0,37000.0,руб.,gross,месяц,РСС,https://www.superjob.ru/vakansii/inzhener-tehnicheskoj-podderzhki-36778455.html,superjob.ru
73,"Инженер-проектировщик слаботочных систем, проектировщик слаботочных систем, слаботочные системы",60000.0,70000.0,руб.,gross,месяц,Группа ЭНЭЛТ,https://www.superjob.ru/vakansii/inzhener-proektirovschik-slabotochnyh-sistem-37312566.html,superjob.ru
74,Инженер ПОС,,120000.0,руб.,gross,месяц,Комэнерго,https://www.superjob.ru/vakansii/inzhener-pos-37312689.html,superjob.ru
75,"Инженер-технолог (вальцовка, штамповка)",,,none,none,none,Московское машиностроительное предприятие имени В. В. Чернышева,https://www.superjob.ru/vakansii/inzhener-tehnolog-32410555.html,superjob.ru
76,Инженер по сетевой безопасности,,100000.0,руб.,gross,месяц,НОРНИКЕЛЬ,https://www.superjob.ru/vakansii/inzhener-po-setevoj-bezopasnosti-36689764.html,superjob.ru
77,Инженер ПТО,,,none,none,none,СК Система,https://www.superjob.ru/vakansii/inzhener-pto-34790932.html,superjob.ru
78,Ведущий инженер-конструктор пищевого производства,,,none,none,none,ОЧАКОВО,https://www.superjob.ru/vakansii/veduschij-inzhener-konstruktor-pischevogo-proizvodstva-36344685.html,superjob.ru
79,Инженер слаботочных систем,75000.0,,руб.,gross,месяц,Охранная Организация АН-Секьюрити,https://www.superjob.ru/vakansii/inzhener-slabotochnyh-sistem-37649051.html,superjob.ru
80,Инженер производственно-технического отдела,69000.0,,руб.,gross,месяц,"ГУП ""Московский метрополитен""",https://www.superjob.ru/vakansii/inzhener-proizvodstvenno-tehnicheskogo-otdela-37088237.html,superjob.ru
81,Team lead Data-инженеров,,,none,none,none,Сбербанк России,https://www.superjob.ru/vakansii/team-lead-data-inzhenerov-37352369.html,superjob.ru
82,Инженер-конструктор 2 категории (Бюро ЭМР и КИПа),65000.0,,руб.,gross,месяц,Центр трудовых ресурсов,https://www.superjob.ru/vakansii/inzhener-konstruktor-2-kategorii-37408146.html,superjob.ru
83,Инженер-схемотехник / Конструктор РЭА,70000.0,87500.0,руб.,gross,месяц,Микроволновая Электроника,https://www.superjob.ru/vakansii/inzhener-shemotehnik-37268471.html,superjob.ru
84,Ведущий инженер-энергетик,44300.0,50000.0,руб.,gross,месяц,Почта России,https://www.superjob.ru/vakansii/veduschij-inzhener-energetik-35170432.html,superjob.ru
85,Ведущий инженер-проектировщик (НВК),,120000.0,руб.,gross,месяц,Комэнерго,https://www.superjob.ru/vakansii/veduschij-inzhener-proektirovschik-37312681.html,superjob.ru
86,Инженер-электрик (Люберцы),56500.0,,руб.,gross,месяц,JOBCART.RU,https://www.superjob.ru/vakansii/inzhener-elektrik-37266165.html,superjob.ru
87,Инженер по строительному контролю / техническому надзору,,,none,none,none,ГК Гранель,https://www.superjob.ru/vakansii/inzhener-po-stroitelnomu-kontrolyu-34623012.html,superjob.ru
88,Инженер по обслуживанию противопожарных систем,50000.0,,руб.,gross,месяц,,https://www.superjob.ru/vakansii/inzhener-po-obsluzhivaniyu-protivopozharnyh-sistem-37602083.html,superjob.ru
89,Инженер-конструктор,,,none,none,none,Электротехнический концерн Русэлпром,https://www.superjob.ru/vakansii/inzhener-konstruktor-37478044.html,superjob.ru
90,Инженер ПТО,70000.0,,руб.,gross,месяц,Группа Компаний Асфальтстрой,https://www.superjob.ru/vakansii/inzhener-pto-37394295.html,superjob.ru
91,Инженер-электрик в строительную компанию,90000.0,110000.0,руб.,gross,месяц,ЭСТ Консалтинг,https://www.superjob.ru/vakansii/inzhener-elektrik-v-stroitelnuyu-kompaniyu-34169710.html,superjob.ru
92,,,,,,,,,
93,Ведущий инженер отдела контроля качества,,91350.0,руб.,gross,месяц,ТехСтрой,https://www.superjob.ru/vakansii/veduschij-inzhener-otdela-kontrolya-kachestva-37516192.html,superjob.ru
94,,,,,,,,,
95,Инженер-конструктор,,,none,none,none,Строительная компания,https://www.superjob.ru/vakansii/inzhener-konstruktor-29233987.html,superjob.ru
96,,,,,,,,,
97,Старший инженер-механик (хлебопекарное производство),,86700.0,руб.,gross,месяц,Азбука вкуса,https://www.superjob.ru/vakansii/starshij-inzhener-mehanik-37392020.html,superjob.ru
98,,,,,,,,,
99,Инженер-геодезист,80000.0,,руб.,gross,месяц,Столичная строительная компания,https://www.superjob.ru/vakansii/inzhener-geodezist-37346324.html,superjob.ru
100,,,,,,,,,
101,Инженер 2 категории по техническому контролю,57600.0,,руб.,gross,месяц,"ГУП ""Московский метрополитен""",https://www.superjob.ru/vakansii/inzhener-2-kategorii-po-tehnicheskomu-kontrolyu-37502007.html,superjob.ru
102,,,,,,,,,
103,Ведущий инженер (вентиляция),75000.0,75000.0,руб.,gross,месяц,ТехСтрой,https://www.superjob.ru/vakansii/veduschij-inzhener-37515101.html,superjob.ru
104,Главный инженер,,,none,none,none,Лента,https://www.superjob.ru/vakansii/glavnyj-inzhener-26548784.html,superjob.ru
105,Ведущий инженер по качеству (генподряд),104000.0,,руб.,gross,месяц,Столичная строительная компания,https://www.superjob.ru/vakansii/veduschij-inzhener-po-kachestvu-36793138.html,superjob.ru
106,Ведущий инженер по ИССО,95000.0,115000.0,руб.,gross,месяц,АВТОБАН,https://www.superjob.ru/vakansii/veduschij-inzhener-po-isso-36380997.html,superjob.ru
107,Инженер по ремонту стиральных машин,120000.0,,руб.,gross,месяц,Крупная Сервисная Компания,https://www.superjob.ru/vakansii/inzhener-po-remontu-stiralnyh-mashin-31420726.html,superjob.ru
108,Инженер в типографию,24000.0,26000.0,руб.,gross,месяц,Академия управления МВД России,https://www.superjob.ru/vakansii/inzhener-v-tipografiyu-33345623.html,superjob.ru
109,Инженер строительного контроля,90000.0,100000.0,руб.,gross,месяц,ТехноСпецСтрой,https://www.superjob.ru/vakansii/inzhener-stroitelnogo-kontrolya-37469474.html,superjob.ru
110,Главный инженер проекта (ГИП),100000.0,120000.0,руб.,gross,месяц,ИВЕА,https://www.superjob.ru/vakansii/glavnyj-inzhener-proekta-37535778.html,superjob.ru
111,Инженер технической поддержки 1С,,80000.0,руб.,gross,месяц,Акросс,https://www.superjob.ru/vakansii/inzhener-tehnicheskoj-podderzhki-1s-36965292.html,superjob.ru
112,Инженер АСУ ТП,,120000.0,руб.,gross,месяц,Стройпроект инвест,https://www.superjob.ru/vakansii/inzhener-asu-tp-37721987.html,superjob.ru
113,Инженер-проектировщик слаботочных систем,80000.0,90000.0,руб.,gross,месяц,ГУП «Московский метрополитен»,https://www.superjob.ru/vakansii/inzhener-proektirovschik-slabotochnyh-sistem-37535659.html,superjob.ru
114,Ведущий инженер-разработчик ПО / Senior Software Engineer,,,none,none,none,Департамент персонала,https://www.superjob.ru/vakansii/veduschij-inzhener-razrabotchik-po-37335481.html,superjob.ru
115,,,,,,,,,
116,,,,,,,,,
117,Инженер по подбору оборудования ОВиК (вентиляция и кондиционирование),,,none,none,none,Воздухотехника,https://www.superjob.ru/vakansii/inzhener-po-podboru-oborudovaniya-ovik-36809157.html,superjob.ru
118,Инженер технадзора (системы безопасности и пожарная защита),,,none,none,none,Почта России,https://www.superjob.ru/vakansii/inzhener-tehnadzora-36082966.html,superjob.ru
119,Инженер-конструктор / Расчетчик,45000.0,55000.0,руб.,gross,месяц,DoorHan,https://www.superjob.ru/vakansii/inzhener-konstruktor-37663526.html,superjob.ru
120,,,,,,,,,
121,QA-инженер (автоматизатор),,,none,none,none,Сбербанк России,https://www.superjob.ru/vakansii/qa-inzhener-37408914.html,superjob.ru
122,Инженер дорожного отдела ООО ИНСТРОЙПРОЕКТ,,,none,none,none,АВТОБАН,https://www.superjob.ru/vakansii/inzhener-dorozhnogo-otdela-ooo-instrojproekt-34377580.html,superjob.ru
123,Инженер технической поддержки,60000.0,,руб.,gross,месяц,BAS-IP,https://www.superjob.ru/vakansii/inzhener-tehnicheskoj-podderzhki-37467699.html,superjob.ru
124,,,,,,,,,
125,Инженер ПТО на объектах в ЯНАО,,125000.0,руб.,gross,месяц,ДМНР КХМ,https://www.superjob.ru/vakansii/inzhener-pto-na-obektah-v-yanao-32127451.html,superjob.ru
126,,,,,,,,,
127,Инженер,50000.0,53000.0,руб.,gross,месяц,DoorHan,https://www.superjob.ru/vakansii/inzhener-37663179.html,superjob.ru
128,,,,,,,,,
129,Инженер-камеральщик,80000.0,,руб.,gross,месяц,Столичная строительная компания,https://www.superjob.ru/vakansii/inzhener-kameralschik-37716073.html,superjob.ru
130,,,,,,,,,
131,Выездной инженер,50000.0,60000.0,руб.,gross,месяц,СТОЛИЧКИ,https://www.superjob.ru/vakansii/vyezdnoj-inzhener-37275866.html,superjob.ru
132,,,,,,,,,
133,Инженер ПТО,60000.0,,руб.,gross,месяц,А-СИС Строй,https://www.superjob.ru/vakansii/inzhener-pto-37557687.html,superjob.ru
134,Инженер службы связи и ОПС,,60000.0,руб.,gross,месяц,Мать и дитя,https://www.superjob.ru/vakansii/inzhener-sluzhby-svyazi-i-ops-36777484.html,superjob.ru
135,Инженер по ремонту / Кладовщик-комплектовщик,36000.0,,руб.,gross,месяц,Спортмастер,https://www.superjob.ru/vakansii/inzhener-po-remontu-37187896.html,superjob.ru
136,Инженер по ремонту автоматических ворот,,,none,none,none,АБСОЛЮТ-сервис,https://www.superjob.ru/vakansii/inzhener-po-remontu-avtomaticheskih-vorot-37338662.html,superjob.ru
137,Инженер по комплектации оборудования,70000.0,,руб.,gross,месяц,ГБУЗ ГКБ №15 имени О. М. Филатова,https://www.superjob.ru/vakansii/inzhener-po-komplektacii-oborudovaniya-25564912.html,superjob.ru
138,Инженер-программист,,,none,none,none,Детский санаторий №15,https://www.superjob.ru/vakansii/inzhener-programmist-36805497.html,superjob.ru
139,Инженер по медицинскому оборудованию,60000.0,60000.0,руб.,gross,месяц,ГБУЗ ДГП 11 ДЗМ,https://www.superjob.ru/vakansii/inzhener-po-medicinskomu-oborudovaniyu-32748389.html,superjob.ru
140,Ведущий инженер по сопровождению,,,none,none,none,Сбербанк России,https://www.superjob.ru/vakansii/veduschij-inzhener-po-soprovozhdeniyu-37451186.html,superjob.ru
141,Инженер по надзору за строительством,57000.0,69000.0,руб.,gross,месяц,"ГУП ""Московский метрополитен""",https://www.superjob.ru/vakansii/inzhener-po-nadzoru-za-stroitelstvom-37481929.html,superjob.ru
142,Инженер-технолог,,,none,none,none,DoorHan,https://www.superjob.ru/vakansii/inzhener-tehnolog-37662895.html,superjob.ru
143,Инженер-технолог в отдел Главного технолога,90000.0,,руб.,gross,месяц,Всероссийский научно-исследовательский институт авиационных материалов,https://www.superjob.ru/vakansii/inzhener-tehnolog-v-otdel-glavnogo-tehnologa-36568364.html,superjob.ru
144,Инженер-сметчик,60000.0,70000.0,руб.,gross,месяц,ГБОУ Российский геронтологический научно-клинический центр,https://www.superjob.ru/vakansii/inzhener-smetchik-35887571.html,superjob.ru
145,DevOps инженер,,,none,none,none,Понтякова,https://www.superjob.ru/vakansii/devops-inzhener-37595979.html,superjob.ru
146,Сервисный инженер систем вентиляции и кондиционирования,55000.0,60000.0,руб.,gross,месяц,ИнжСервис,https://www.superjob.ru/vakansii/servisnyj-inzhener-sistem-ventilyacii-i-kondicionirovaniya-37050917.html,superjob.ru
147,Инженер-технолог ВВО,,,none,none,none,МЭЛ,https://www.superjob.ru/vakansii/inzhener-tehnolog-vvo-37719147.html,superjob.ru
148,Ведущий инженер-конструктор,80000.0,85000.0,руб.,gross,месяц,Staffmax,https://www.superjob.ru/vakansii/veduschij-inzhener-konstruktor-37365518.html,superjob.ru
149,Инженер-проектировщик электроснабжение,,120000.0,руб.,gross,месяц,,https://www.superjob.ru/vakansii/inzhener-proektirovschik-elektrosnabzhenie-37595391.html,superjob.ru
150,Инженер-электроник (диагностика и ремонт станков с ЧПУ),,,none,none,none,Московское машиностроительное предприятие имени В. В. Чернышева,https://www.superjob.ru/vakansii/inzhener-elektronik-31827959.html,superjob.ru
151,Инженер-геодезист в строительстве,90000.0,,руб.,gross,месяц,Алиев Руслан Чингизович,https://www.superjob.ru/vakansii/inzhener-geodezist-v-stroitelstve-37718744.html,superjob.ru
152,Инженер производственно-технического отдела,50000.0,,руб.,gross,месяц,ЭК ЭНЕРГИЯ,https://www.superjob.ru/vakansii/inzhener-proizvodstvenno-tehnicheskogo-otdela-36296312.html,superjob.ru
153,Инженер-конструктор светопрозрачных конструкций,,,none,none,none,ДОМ,https://www.superjob.ru/vakansii/inzhener-konstruktor-svetoprozrachnyh-konstrukcij-37334801.html,superjob.ru
154,Инженер по моделированию сварочных процессов (САЕ расчет сварочных деформаций),,,none,none,none,2050-Интегратор,https://www.superjob.ru/vakansii/inzhener-po-modelirovaniyu-svarochnyh-processov-37717940.html,superjob.ru
155,Сервисный инженер по холодильному оборудованию,85000.0,,руб.,gross,месяц,СК Таурус,https://www.superjob.ru/vakansii/servisnyj-inzhener-po-holodilnomu-oborudovaniyu-37634351.html,superjob.ru
156,Инженер-наладчик КИПиА (пищевое производство),80000.0,,руб.,gross,месяц,28 Хлебозавод,https://www.superjob.ru/vakansii/inzhener-naladchik-kipia-36371793.html,superjob.ru
157,Инженер-проектировщик,,,none,none,none,Траскон Текнолоджи,https://www.superjob.ru/vakansii/inzhener-proektirovschik-31825322.html,superjob.ru
158,Инженер,,,none,none,none,ГБУЗ Детская городская поликлиника №52 ДЗМ,https://www.superjob.ru/vakansii/inzhener-36017956.html,superjob.ru
159,Инженер-электроник,55000.0,65000.0,руб.,gross,месяц,КСТ,https://www.superjob.ru/vakansii/inzhener-elektronik-33166639.html,superjob.ru
160,Ведущий инженер-конструктор (электрооборудование подвижного состава),77000.0,,руб.,gross,месяц,"ГУП ""Московский метрополитен""",https://www.superjob.ru/vakansii/veduschij-inzhener-konstruktor-37656973.html,superjob.ru
161,Системный администратор / Инженер,,,none,none,none,Сбербанк России,https://www.superjob.ru/vakansii/sistemnyj-administrator-37076818.html,superjob.ru
162,Инженер (органические и элементоорганические полимеры),70000.0,,руб.,gross,месяц,Всероссийский научно-исследовательский институт авиационных материалов,https://www.superjob.ru/vakansii/inzhener-34907793.html,superjob.ru
163,Инженер-проектировщик (Слаботочных систем),80000.0,,руб.,gross,месяц,,https://www.superjob.ru/vakansii/inzhener-proektirovschik-37595387.html,superjob.ru
164,Инженер-конструктор (проектирование мех. части изделия),,,none,none,none,2050-Интегратор,https://www.superjob.ru/vakansii/inzhener-konstruktor-37717861.html,superjob.ru
